price,crime_rate,resid_area,room_num,age,teachers,poor_prop,rainfall,d+d,aq_x_p
24.0,0.00632,32.31,6.575,65.2,24.7,4.98,23,16.35,1.06
21.6,0.02731,37.07,6.421,78.9,22.2,9.14,42,19.87,0.87
34.7,0.02729,37.07,7.185,61.1,22.2,4.03,38,19.87,0.86
33.4,0.03237,32.18,6.998,45.8,21.3,2.94,45,24.26,0.86
36.2,0.06905,32.18,7.147,54.2,21.3,5.33,55,24.25,0.72
28.7,0.02985,32.18,6.43,58.7,21.3,5.21,53,24.24,0.84
22.9,0.08829,37.87,6.012,66.6,24.8,12.43,41,22.24,1.09
22.1,0.14455,37.87,6.172,96.1,24.8,19.15,56,23.8,1.2
16.5,0.21124,37.87,5.631,100.0,24.8,29.93,55,24.33,1.18
18.9,0.17004,37.87,6.004,85.9,24.8,17.1,45,26.36,1.06
15.0,0.22489,37.87,6.377,94.3,24.8,20.45,29,25.39,1.21
18.9,0.11747,37.87,6.009,82.9,24.8,13.27,23,24.9,1.16
21.7,0.09378,37.87,5.889,39.0,24.8,15.71,57,21.81,1.2
20.4,0.62976,38.14,5.949,61.8,19.0,8.26,39,18.83,1.15
18.2,0.63796,38.14,6.096,84.5,19.0,10.26,49,17.86,1.29
19.9,0.62739,38.14,5.834,56.5,19.0,8.47,28,17.99,1.29
23.1,1.05393,38.14,5.935,29.3,19.0,6.58,46,18.0,1.18
17.5,0.7842,38.14,5.99,81.7,19.0,14.67,56,17.04,1.18
20.2,0.80271,38.14,5.456,36.6,19.0,11.69,41,15.18,1.17
18.2,0.7258,38.14,5.727,69.5,19.0,11.28,27,15.2,1.24
13.6,1.25179,38.14,5.57,98.1,19.0,21.02,44,15.19,1.04
19.6,0.85204,38.14,5.965,89.2,19.0,13.83,23,16.05,1.16
15.2,1.23247,38.14,6.142,91.7,19.0,18.72,48,15.92,1.24
14.5,0.98843,38.14,5.813,100.0,19.0,19.88,29,16.38,1.13
15.6,0.75026,38.14,5.924,94.1,19.0,16.3,27,17.6,1.08
13.9,0.84054,38.14,5.599,85.7,19.0,16.51,35,17.82,1.11
16.6,0.67191,38.14,5.813,90.3,19.0,14.81,59,18.73,1.02
14.8,0.95577,38.14,6.047,88.8,19.0,17.28,20,17.81,1.05
18.4,0.77299,38.14,6.495,94.4,19.0,12.8,35,17.82,1.17
21.0,1.00245,38.14,6.674,87.3,19.0,11.98,50,16.96,1.05
12.7,1.13081,38.14,5.713,94.1,19.0,22.6,34,16.93,1.26
14.5,1.35472,38.14,6.072,100.0,19.0,13.04,23,16.7,1.12
13.2,1.38799,38.14,5.95,82.0,19.0,27.71,25,15.97,1.15
13.1,1.15172,38.14,5.701,95.0,19.0,18.35,25,15.15,1.23
13.5,1.61282,38.14,6.096,96.9,19.0,20.34,40,15.04,1.07
18.9,0.06417,35.96,5.933,68.2,20.8,9.68,43,13.44,1.06
20.0,0.09744,35.96,5.841,61.4,20.8,11.41,39,13.51,0.91
21.0,0.08014,35.96,5.85,41.5,20.8,8.77,21,15.74,1.02
24.2,0.17505,35.96,5.966,30.2,20.8,10.13,21,15.39,0.97
30.8,0.02763,32.95,6.595,21.8,21.7,4.32,49,21.6,0.77
34.9,0.03359,32.95,7.024,15.8,21.7,1.98,20,21.61,0.73
26.6,0.12744,36.91,6.77,2.9,22.1,4.84,30,22.89,0.89
25.3,0.1415,36.91,6.169,6.6,22.1,5.81,52,22.89,0.75
24.7,0.15936,36.91,6.211,6.5,22.1,7.44,56,22.88,0.8
21.2,0.12269,36.91,6.069,40.0,22.1,9.55,53,22.89,0.72
19.3,0.17142,36.91,5.682,33.8,22.1,10.21,21,20.41,0.8
20.0,0.18836,36.91,5.786,33.3,22.1,14.15,39,20.4,0.81
16.6,0.22927,36.91,6.03,85.5,22.1,18.8,44,22.76,0.94
14.4,0.25387,36.91,5.399,95.3,22.1,30.81,34,23.48,0.76
19.4,0.21977,36.91,5.602,62.0,22.1,16.2,45,24.35,0.91
19.7,0.08873,35.64,5.963,45.7,23.2,13.45,21,27.26,0.71
20.5,0.04337,35.64,6.115,63.0,23.2,9.43,30,27.27,0.83
25.0,0.0536,35.64,6.511,21.1,23.2,5.28,56,27.27,0.81
23.4,0.04981,35.64,5.998,21.4,23.2,8.43,41,27.26,0.73
18.9,0.0136,34.0,5.888,47.6,18.9,14.8,55,29.27,0.63
35.4,0.01311,31.22,7.249,21.9,22.1,4.81,50,34.79,0.77
24.7,0.02055,30.74,6.383,35.7,22.7,5.77,22,36.75,0.63
31.6,0.01432,31.32,6.816,40.5,24.9,3.95,45,33.3,0.7
23.3,0.15445,35.13,6.145,29.2,20.3,6.86,22,31.26,0.79
19.6,0.10328,35.13,5.927,47.2,20.3,9.22,20,27.72,0.83
18.7,0.14932,35.13,5.741,66.2,20.3,13.15,30,28.9,0.79
16.0,0.17171,35.13,5.966,93.4,20.3,14.44,48,27.28,0.7
22.2,0.11027,35.13,6.456,67.8,20.3,6.73,56,28.9,0.79
25.0,0.1265,35.13,6.762,43.4,20.3,9.5,28,31.93,0.85
33.0,0.01951,31.38,7.104,59.5,21.4,8.05,30,36.89,0.65
23.5,0.03584,33.37,6.29,17.8,23.9,4.67,20,26.45,0.6
19.4,0.04379,33.37,5.787,31.1,23.9,10.24,44,26.44,0.76
22.0,0.05789,36.07,5.878,21.4,21.1,8.1,29,25.99,0.66
17.4,0.13554,36.07,5.594,36.8,21.1,13.09,40,25.99,0.79
20.9,0.12816,36.07,5.885,33.0,21.1,8.79,56,26.0,0.63
24.2,0.08826,40.81,6.417,6.6,20.8,6.72,38,21.14,0.68
21.7,0.15876,40.81,5.961,17.5,20.8,9.88,46,21.15,0.66
22.8,0.09164,40.81,6.065,7.8,20.8,5.52,20,21.15,0.6
23.4,0.19539,40.81,6.245,6.2,20.8,7.54,45,21.15,0.72
24.1,0.07896,42.83,6.273,6.0,21.3,6.78,40,17.01,0.68
21.4,0.09512,42.83,6.286,45.0,21.3,8.94,28,18.02,0.67
20.0,0.10153,42.83,6.279,74.5,21.3,11.97,22,16.21,0.79
20.8,0.08707,42.83,6.14,45.8,21.3,10.27,57,16.36,0.73
21.2,0.05646,42.83,6.232,53.7,21.3,12.34,53,20.06,0.66
20.3,0.08387,42.83,5.874,36.6,21.3,9.1,37,18.01,0.82
28.0,0.04113,34.86,6.727,33.5,21.0,5.29,54,21.6,0.64
23.9,0.04462,34.86,6.619,70.4,21.0,7.22,49,21.61,0.85
24.8,0.03659,34.86,6.302,32.2,21.0,6.72,20,21.61,0.8
22.9,0.03551,34.86,6.167,46.7,21.0,7.51,34,21.6,0.69
23.9,0.05059,34.49,6.389,48.0,21.5,9.62,23,19.12,0.76
26.6,0.05735,34.49,6.63,56.1,21.5,6.53,56,17.76,0.94
22.5,0.05188,34.49,6.015,45.1,21.5,12.86,50,17.71,0.85
22.2,0.07151,34.49,6.121,56.8,21.5,8.44,43,14.99,0.92
23.6,0.0566,33.41,7.007,86.3,22.2,5.5,28,13.68,0.89
28.7,0.05302,33.41,7.079,63.1,22.2,5.7,31,13.66,0.93
22.6,0.04684,33.41,6.417,66.1,22.2,8.81,58,12.37,0.83
22.0,0.03932,33.41,6.405,73.9,22.2,8.2,23,12.37,0.88
22.9,0.04203,45.04,6.442,53.6,21.8,8.16,60,14.66,0.96
25.0,0.02875,45.04,6.211,28.9,21.8,6.21,46,14.67,0.91
20.6,0.04294,45.04,6.249,77.3,21.8,10.59,54,14.46,0.86
28.4,0.12204,32.89,6.625,57.8,22.0,6.65,46,13.98,0.83
21.4,0.11504,32.89,6.163,69.6,22.0,11.34,21,13.98,0.82
38.7,0.12083,32.89,8.069,76.0,22.0,4.21,53,13.98,0.73
43.8,0.08187,32.89,7.82,36.9,22.0,3.57,25,13.99,0.91
33.2,0.0686,32.89,7.416,62.5,22.0,6.19,31,13.99,0.91
27.5,0.14866,38.56,6.727,79.9,19.1,9.42,24,11.11,0.98
26.5,0.11432,38.56,6.781,71.3,19.1,7.67,58,11.43,0.92
18.6,0.22876,38.56,6.405,85.4,19.1,10.63,57,10.86,1.13
19.3,0.21161,38.56,6.137,87.4,19.1,13.44,36,10.85,1.15
20.1,0.1396,38.56,6.167,90.0,19.1,12.33,20,9.69,0.95
19.5,0.13262,38.56,5.851,96.7,19.1,16.47,57,8.42,1.07
19.5,0.1712,38.56,5.836,91.9,19.1,18.66,20,8.84,1.0
20.4,0.13117,38.56,6.127,85.2,19.1,14.09,57,8.49,1.08
19.8,0.12802,38.56,6.474,97.1,19.1,12.27,48,9.74,1.04
19.4,0.26363,38.56,6.229,91.2,19.1,15.55,41,10.18,1.15
21.7,0.10793,38.56,6.195,54.4,19.1,13.0,37,11.11,0.94
22.8,0.10084,40.01,6.715,81.6,22.2,10.16,34,10.7,1.19
18.8,0.12329,40.01,5.913,92.9,22.2,16.21,35,9.41,1.26
18.7,0.22212,40.01,6.092,95.4,22.2,17.09,59,10.19,1.32
18.5,0.14231,40.01,6.254,84.2,22.2,10.45,39,9.02,1.25
18.3,0.17134,40.01,5.928,88.2,22.2,15.76,24,9.85,1.18
21.2,0.13158,40.01,6.176,72.5,22.2,12.04,23,10.92,1.15
19.2,0.15098,40.01,6.021,82.6,22.2,10.3,28,10.99,1.33
20.4,0.13058,40.01,5.872,73.1,22.2,15.37,40,9.91,1.24
19.3,0.14476,40.01,5.731,65.2,22.2,13.61,20,11.03,1.16
22.0,0.06899,55.65,5.87,69.7,20.9,14.37,23,9.03,1.32
20.3,0.07165,55.65,6.004,84.1,20.9,14.27,39,8.79,1.32
20.5,0.09299,55.65,5.961,92.9,20.9,17.93,51,8.36,1.41
17.3,0.15038,55.65,5.856,97.0,20.9,25.41,51,7.78,1.22
18.8,0.09849,55.65,5.879,95.8,20.9,17.58,56,8.03,1.44
21.4,0.16902,55.65,5.986,88.4,20.9,14.81,22,7.96,1.41
15.7,0.38735,55.65,5.613,95.6,20.9,27.26,42,7.02,1.47
16.2,0.25915,51.89,5.693,96.0,18.8,17.19,31,7.15,1.41
18.0,0.32543,51.89,6.431,98.8,18.8,15.39,41,7.26,1.41
14.3,0.88125,51.89,5.637,94.7,18.8,18.34,30,7.93,1.45
19.2,0.34006,51.89,6.458,98.9,18.8,12.6,25,8.47,1.65
19.6,1.19294,51.89,6.326,97.7,18.8,12.26,29,9.08,1.39
23.0,0.59005,51.89,6.372,97.9,18.8,11.12,57,9.31,1.37
18.4,0.32982,51.89,5.822,95.4,18.8,15.03,58,9.89,1.54
15.6,0.97617,51.89,5.757,98.4,18.8,17.31,32,9.39,1.61
18.1,0.55778,51.89,6.335,98.2,18.8,16.96,37,8.44,1.65
17.4,0.32264,51.89,5.942,93.5,18.8,16.9,37,7.87,1.55
17.1,0.35233,51.89,6.454,98.4,18.8,14.59,40,7.4,1.68
13.3,0.2498,51.89,5.857,98.2,18.8,21.32,39,6.67,1.48
17.8,0.54452,51.89,6.151,97.9,18.8,18.46,29,6.67,1.48
14.0,0.2909,51.89,6.174,93.6,18.8,24.16,28,6.45,1.42
14.4,1.62864,51.89,5.019,100.0,18.8,34.41,43,5.76,1.4
13.4,3.32105,49.58,5.403,100.0,25.3,26.82,42,5.29,2.81
15.6,4.0974,49.58,5.468,100.0,25.3,26.42,25,5.65,2.76
11.8,2.77974,49.58,4.903,97.8,25.3,29.29,52,5.38,2.77
13.8,2.37934,49.58,6.13,100.0,25.3,27.8,59,5.68,2.94
15.6,2.15505,49.58,5.628,100.0,25.3,16.65,32,6.06,2.64
14.6,2.36862,49.58,4.926,95.7,25.3,29.53,24,5.84,2.79
17.8,2.33099,49.58,5.186,93.8,25.3,28.32,43,6.13,2.92
15.4,2.73397,49.58,5.597,94.9,25.3,21.45,48,6.09,2.64
21.5,1.6566,49.58,6.122,97.3,25.3,14.1,34,6.47,2.89
19.6,1.49632,49.58,5.404,100.0,25.3,13.28,42,6.36,2.62
15.3,1.12658,49.58,5.012,88.0,25.3,12.12,46,6.44,2.96
19.4,2.14918,49.58,5.709,98.5,25.3,15.79,58,6.49,2.92
17.0,1.41385,49.58,6.129,96.0,25.3,15.12,48,6.99,2.81
15.6,3.53501,49.58,6.152,82.6,25.3,15.02,37,6.99,3.02
13.1,2.44668,49.58,5.272,94.0,25.3,16.14,60,6.94,2.61
41.3,1.22358,49.58,6.943,97.4,25.3,4.59,57,7.51,1.33
24.3,1.34284,49.58,6.066,100.0,25.3,6.43,46,7.03,1.35
23.3,1.42502,49.58,6.51,100.0,25.3,7.39,36,7.07,2.66
27.0,1.27346,49.58,6.25,92.6,25.3,5.5,23,7.2,1.26
50.0,1.46336,49.58,7.489,90.8,25.3,1.73,35,7.88,1.3
50.0,1.83377,49.58,7.802,98.2,25.3,1.92,22,8.17,1.35
50.0,1.51902,49.58,8.375,93.9,25.3,3.32,57,8.65,1.46
22.7,2.24236,49.58,5.854,91.8,25.3,11.64,56,9.69,1.59
25.0,2.924,49.58,6.101,93.0,25.3,9.81,22,9.13,1.29
50.0,2.01019,49.58,7.929,96.2,25.3,3.7,37,8.19,1.26
23.8,1.80028,49.58,5.877,79.2,25.3,12.14,22,9.7,1.33
23.8,2.3004,49.58,6.319,96.1,25.3,11.1,23,8.4,1.6
22.3,2.44953,49.58,6.402,95.2,25.3,11.32,22,9.05,1.3
17.4,1.20742,49.58,5.875,94.6,25.3,14.43,28,9.7,1.47
19.1,2.3139,49.58,5.88,97.3,25.3,12.03,54,9.56,1.39
23.1,0.13914,34.05,5.572,88.5,23.4,14.69,38,10.39,1.08
23.6,0.09178,34.05,6.416,84.1,23.4,9.04,59,10.59,1.1
22.6,0.08447,34.05,5.859,68.7,23.4,9.64,35,10.81,1.08
29.4,0.06664,34.05,6.546,33.1,23.4,5.33,48,12.52,1.04
23.2,0.07022,34.05,6.02,47.2,23.4,10.11,49,14.22,1.06
24.6,0.05425,34.05,6.315,73.4,23.4,6.29,31,13.28,0.97
29.9,0.06642,34.05,6.86,74.4,23.4,6.92,28,11.65,1.12
37.2,0.0578,32.46,6.98,58.4,22.2,5.04,50,11.32,0.89
39.8,0.06588,32.46,7.765,83.3,22.2,7.56,60,10.96,0.91
36.2,0.06888,32.46,6.144,62.2,22.2,9.45,59,10.39,1.09
37.9,0.09103,32.46,7.155,92.2,22.2,4.82,56,10.79,0.84
32.5,0.10008,32.46,6.563,95.6,22.2,5.68,60,11.38,0.88
26.4,0.08308,32.46,5.604,89.8,22.2,13.98,27,11.96,0.91
29.6,0.06047,32.46,6.153,68.8,22.2,13.15,45,13.12,0.91
50.0,0.05602,32.46,7.831,53.6,22.2,4.45,35,12.8,0.89
32.0,0.07875,33.44,6.782,41.1,24.8,6.68,23,15.15,0.74
29.8,0.12579,33.44,6.556,29.1,24.8,4.56,40,18.27,0.8
34.9,0.0837,33.44,7.185,38.9,24.8,5.39,20,18.27,0.81
33.0,0.09068,33.44,6.951,21.5,24.8,5.1,55,25.92,0.89
30.5,0.06911,33.44,6.739,30.8,24.8,4.69,40,25.92,0.67
36.4,0.08664,33.44,7.178,26.3,24.8,2.87,40,25.91,0.78
31.1,0.02187,32.93,6.8,9.9,24.4,5.03,24,24.88,0.66
29.1,0.01439,32.93,6.604,18.8,24.4,4.38,59,24.88,0.78
50.0,0.01381,30.46,7.875,32.0,25.6,2.97,26,22.6,0.73
33.3,0.04011,31.52,7.287,34.1,27.4,4.08,20,29.24,0.59
30.3,0.04666,31.52,7.107,36.6,27.4,8.61,24,29.24,0.65
34.6,0.03768,31.52,7.274,38.3,27.4,6.62,43,29.24,0.67
34.9,0.0315,31.47,6.975,15.3,23.0,4.56,24,30.61,0.67
32.9,0.01778,31.47,7.135,13.9,23.0,4.45,22,30.61,0.75
24.1,0.03445,32.03,6.162,38.4,25.3,7.43,32,25.09,0.69
42.3,0.02177,32.03,7.61,15.7,25.3,3.11,30,25.07,0.76
48.5,0.0351,32.68,7.853,33.2,25.3,3.81,22,20.47,0.68
50.0,0.02009,32.68,8.034,31.9,25.3,2.88,51,20.48,0.74
22.6,0.13642,40.59,5.891,22.3,21.4,10.87,26,15.79,1.1
24.4,0.22969,40.59,6.326,52.5,21.4,10.97,52,17.43,1.0
22.5,0.25199,40.59,5.783,72.7,21.4,18.06,38,17.41,1.01
24.4,0.13587,40.59,6.064,59.1,21.4,14.66,31,16.96,0.87
20.0,0.43571,40.59,5.344,100.0,21.4,23.09,60,15.5,1.1
21.7,0.17446,40.59,5.96,92.1,21.4,17.27,36,15.5,0.87
19.3,0.37578,40.59,5.404,88.6,21.4,23.98,39,14.66,0.96
