price,resid_area,room_num,age,teachers,poor_prop,airport,n_hos_beds,n_hot_rooms,rainfall,Sold,WB_Lake,WB_River,dxd
24.0,32.31,6.575,65.2,24.7,4.98,1,5.48,11.192,23,0,0,1,27.78
21.6,37.07,6.421,78.9,22.2,9.14,0,7.332,12.1728,42,1,1,0,60.76
34.7,37.07,7.185,61.1,22.2,4.03,0,7.394,101.12,38,0,0,0,60.87
33.4,32.18,6.998,45.8,21.3,2.94,1,9.268,11.2672,45,0,1,0,135.2
36.2,32.18,7.147,54.2,21.3,5.33,0,8.824,11.2896,55,0,1,0,134.75
28.7,32.18,6.43,58.7,21.3,5.21,1,7.174,14.2296,53,1,0,0,134.63
22.9,37.87,6.012,66.6,24.8,12.43,1,6.958,12.1832,41,1,0,1,95.17
22.1,37.87,6.172,96.1,24.8,19.15,0,5.842,12.1768,56,1,1,0,124.99
16.5,37.87,5.631,100.0,24.8,29.93,1,5.93,12.132,55,0,0,0,136.66
18.9,37.87,6.004,85.9,24.8,17.1,1,9.478,14.1512,45,0,0,1,188.24
15.0,37.87,6.377,94.3,24.8,20.45,0,6.0,11.12,29,1,1,0,161.61
18.9,37.87,6.009,82.9,24.8,13.27,0,9.278,13.1512,23,1,1,1,149.83
21.7,37.87,5.889,39.0,24.8,15.71,1,5.534,10.1736,57,1,1,1,88.05
20.4,38.14,5.949,61.8,19.0,8.26,1,5.908,14.1632,39,0,0,0,49.02
18.2,38.14,6.096,84.5,19.0,10.26,0,6.964,13.1456,49,0,0,0,39.64
19.9,38.14,5.834,56.5,19.0,8.47,1,8.498,14.1592,28,0,0,1,40.8
23.1,38.14,5.935,29.3,19.0,6.58,0,5.462,10.1848,46,0,0,0,40.96
17.5,38.14,5.99,81.7,19.0,14.67,0,5.45,11.14,56,1,1,0,32.76
20.2,38.14,5.456,36.6,19.0,11.69,1,8.504,12.1616,41,0,1,1,20.65
18.2,38.14,5.727,69.5,19.0,11.28,0,8.564,12.1456,27,1,1,1,20.74
13.6,38.14,5.57,98.1,19.0,21.02,1,8.272,15.1088,44,0,1,1,20.66
19.6,38.14,5.965,89.2,19.0,13.83,1,9.192,14.1568,23,0,0,0,25.75
15.2,38.14,6.142,91.7,19.0,18.72,1,5.804,14.1216,48,1,0,1,24.74
14.5,38.14,5.813,100.0,19.0,19.88,1,7.49,13.116,29,0,1,0,28.03
15.6,38.14,5.924,94.1,19.0,16.3,1,8.212,13.1248,27,1,1,0,37.12
13.9,38.14,5.599,85.7,19.0,16.51,1,9.378,13.1112,35,0,0,1,39.11
16.6,38.14,5.813,90.3,19.0,14.81,0,9.732,12.1328,59,1,1,0,47.95
14.8,38.14,6.047,88.8,19.0,17.28,1,8.696,13.1184,20,1,1,0,39.26
18.4,38.14,6.495,94.4,19.0,12.8,1,5.968,15.1472,35,1,0,1,39.25
21.0,38.14,6.674,87.3,19.0,11.98,0,9.02,12.168,50,0,0,1,32.14
12.7,38.14,5.713,94.1,19.0,22.6,0,9.854,12.1016,34,0,1,0,31.87
14.5,38.14,6.072,100.0,19.0,13.04,1,9.29,12.116,23,1,0,0,30.1
13.2,38.14,5.95,82.0,19.0,27.71,0,8.764,14.1056,25,0,0,1,25.28
13.1,38.14,5.701,95.0,19.0,18.35,1,8.362,15.1048,25,1,0,0,20.54
13.5,38.14,6.096,96.9,19.0,20.34,1,9.67,11.108,40,0,0,0,19.83
18.9,35.96,5.933,68.2,20.8,9.68,1,9.478,11.1512,43,1,0,1,12.56
20.0,35.96,5.841,61.4,20.8,11.41,0,7.5,15.16,39,0,0,0,12.96
21.0,35.96,5.85,41.5,20.8,8.77,1,8.12,10.168,21,0,0,1,23.92
24.2,35.96,5.966,30.2,20.8,10.13,1,8.184,10.1936,21,1,0,1,21.72
30.8,32.95,6.595,21.8,21.7,4.32,1,6.916,12.2464,49,1,0,1,84.72
34.9,32.95,7.024,15.8,21.7,1.98,1,6.198,15.2792,20,1,0,1,84.97
26.6,36.91,6.77,2.9,22.1,4.84,0,7.732,13.2128,30,1,1,1,106.93
25.3,36.91,6.169,6.6,22.1,5.81,0,8.106,15.2024,52,1,0,1,106.99
24.7,36.91,6.211,6.5,22.1,7.44,1,6.094,15.1976,56,1,0,1,106.61
21.2,36.91,6.069,40.0,22.1,9.55,0,9.024,12.1696,53,0,0,1,107.09
19.3,36.91,5.682,33.8,22.1,10.21,0,8.086,11.1544,21,0,0,1,67.71
20.0,36.91,5.786,33.3,22.1,14.15,1,9.3,12.16,39,0,1,0,67.33
16.6,36.91,6.03,85.5,22.1,18.8,1,5.332,12.1328,44,0,0,1,104.74
14.4,36.91,5.399,95.3,22.1,30.81,0,7.088,14.1152,34,0,0,0,118.63
19.4,36.91,5.602,62.0,22.1,16.2,0,5.988,13.1552,45,0,1,1,137.17
19.7,35.64,5.963,45.7,23.2,13.45,1,0.0,11.1576,21,1,0,1,215.22
20.5,35.64,6.115,63.0,23.2,9.43,1,7.01,11.164,30,1,1,0,215.34
25.0,35.64,6.511,21.1,23.2,5.28,0,9.9,14.2,56,1,0,1,215.23
23.4,35.64,5.998,21.4,23.2,8.43,0,9.168,11.1872,41,1,0,1,215.42
18.9,34.0,5.888,47.6,18.9,14.8,1,8.678,15.1512,55,0,0,0,286.21
35.4,31.22,7.249,21.9,22.1,4.81,1,7.508,13.2832,50,0,0,1,571.73
24.7,30.74,6.383,35.7,22.7,5.77,1,5.794,15.1976,22,0,1,0,711.85
31.6,31.32,6.816,40.5,24.9,3.95,1,7.432,15.2528,45,0,1,0,479.67
23.3,35.13,6.145,29.2,20.3,6.86,0,7.866,14.1864,22,0,0,0,372.28
19.6,35.13,5.927,47.2,20.3,9.22,1,6.192,14.1568,20,0,0,0,230.01
18.7,35.13,5.741,66.2,20.3,13.15,0,7.974,11.1496,30,0,0,1,271.89
16.0,35.13,5.966,93.4,20.3,14.44,0,6.22,15.128,48,1,0,1,216.09
22.2,35.13,6.456,67.8,20.3,6.73,1,5.844,10.1776,56,0,0,0,271.66
25.0,35.13,6.762,43.4,20.3,9.5,1,5.9,13.2,28,0,1,1,405.5
33.0,31.38,7.104,59.5,21.4,8.05,1,8.26,10.264,30,0,1,1,722.83
23.5,33.37,6.29,17.8,23.9,4.67,0,9.47,12.188,20,1,0,1,190.99
19.4,33.37,5.787,31.1,23.9,10.24,0,8.988,11.1552,44,0,1,1,190.66
22.0,36.07,5.878,21.4,21.1,8.1,1,7.14,13.176,29,0,0,1,178.16
17.4,36.07,5.594,36.8,21.1,13.09,0,8.848,15.1392,40,1,0,1,177.84
20.9,36.07,5.885,33.0,21.1,8.79,0,8.318,11.1672,56,0,1,0,178.45
24.2,40.81,6.417,6.6,20.8,6.72,1,9.784,14.1936,38,1,0,1,77.6
21.7,40.81,5.961,17.5,20.8,9.88,0,10.034,13.1736,46,0,1,1,78.04
22.8,40.81,6.065,7.8,20.8,5.52,0,5.856,10.1824,20,0,0,1,77.79
23.4,40.81,6.245,6.2,20.8,7.54,1,5.968,12.1872,45,0,1,0,78.02
24.1,42.83,6.273,6.0,21.3,6.78,0,7.882,10.1928,40,0,0,1,32.37
21.4,42.83,6.286,45.0,21.3,8.94,0,6.028,10.1712,28,1,0,0,40.52
20.0,42.83,6.279,74.5,21.3,11.97,0,7.3,12.16,22,0,0,0,26.76
20.8,42.83,6.14,45.8,21.3,10.27,1,5.916,11.1664,57,0,0,1,27.79
21.2,42.83,6.232,53.7,21.3,12.34,1,8.824,15.1696,53,1,1,0,62.91
20.3,42.83,5.874,36.6,21.3,9.1,0,6.406,15.1624,37,1,1,1,40.92
